X,Y,Z
13.469999999999999,15.0,13.91
11.86,15.0,14.040000000000001
10.190000000000001,15.0,14.030000000000001
7.290000000000001,15.0,12.540000000000001
4.3100000000000005,15.0,15.98
-0.67,15.0,16.3
-4.42,15.0,16.45
-8.22,15.0,17.68
-13.469999999999999,15.0,16.69
-11.07,15.0,11.34
-14.6,15.0,4.61
-15.330000000000002,15.0,1.49
-15.13,15.0,-1.7899999999999998
-12.52,15.0,-8.05
-13.75,15.0,-10.5
-12.309999999999999,15.0,-15.569999999999999
-9.120000000000001,15.0,-19.47
-9.15,15.0,-21.369999999999997
-3.95,15.0,-23.46
0.9,15.0,-23.47
2.32,15.0,-26.47
6.85,15.0,-22.490000000000002
14.3,15.0,-24.36
22.04,15.0,-27.43
21.43,15.0,-22.98
22.21,15.0,-20.56
24.580000000000002,15.0,-16.25
23.98,15.0,-7.35
25.27,15.0,-0.15
26.110000000000003,15.0,8.190000000000001
22.54,15.0,11.36
